29.75,145513,1534,935,2067,160610,1802,1029,2087
30.0,146622,1545,943,2091,162131,1822,1046,2134
30.25,147808,1557,953,2113,163735,1835,1058,2183
30.5,149030,1565,962,2144,165277,1855,1072,2229
30.75,150219,1573,975,2187,166739,1873,1077,2257
31.0,151356,1584,984,2219,168258,1888,1094,2306
31.25,152540,1591,992,2256,169751,1909,1105,2337
31.5,153663,1598,998,2284,171262,1920,1116,2382
31.75,154868,1609,1008,2318,172735,1936,1126,2429
32.0,156031,1620,1017,2350,174231,1951,1140,2476
32.25,157156,1633,1026,2380,175788,1971,1154,2524
32.5,158311,1645,1037,2415,177371,1990,1165,2565
32.75,159424,1664,1042,2440,178853,2013,1179,2614
33.0,160637,1671,1046,2459,180441,2034,1192,2664
33.25,161777,1681,1054,2491,181985,2049,1203,2706
33.5,162822,1691,1060,2520,183543,2068,1221,2753
33.75,163953,1702,1063,2548,185127,2082,1234,2796
34.0,165147,1712,1072,2587,186670,2099,1246,2840
34.25,166345,1723,1083,2629,188248,2120,1257,2889
34.5,167510,1733,1097,2666,189812,2143,1269,2935
34.75,168674,1738,1108,2701,191449,2160,1287,2993
35.0,169804,1752,1118,2734,193035,2185,1304,3042
35.25,170931,1766,1128,2777,194642,2201,1317,3091
35.5,172077,1778,1137,2812,196251,2222,1328,3148
35.75,173255,1793,1144,2850,197781,2244,1340,3192
36.0,174356,1804,1153,2879,199352,2264,1355,3238
36.25,175458,1822,1156,2918,200912,2291,1369,3282
36.5,176609,1833,1161,2943,202562,2309,1382,3338
36.75,177710,1843,1164,2969,204172,2333,1395,3383
37.0,178838,1853,1173,3002,205783,2351,1412,3436
37.25,179992,1861,1180,3051,207388,2370,1420,3474
37.5,181119,1878,1186,3074,208994,2389,1438,3525
37.75,182181,1883,1193,3115,210659,2412,1452,3584
38.0,183250,1891,1199,3145,212273,2435,1462,3631
38.25,184365,1902,1207,3180,213940,2459,1479,3676
38.5,185481,1916,1220,3216,215565,2483,1491,3723
38.75,186572,1922,1229,3252,217277,2503,1510,3773
39.0,187727,1926,1238,3299,218919,2523,1526,3828
39.25,188876,1932,1245,3333,220582,2546,1544,3893
39.5,189966,1946,1252,3367,222236,2570,1560,3952
39.75,191133,1960,1254,3396,223876,2591,1574,4014
40.0,192262,1972,1264,3444,225560,2622,1591,4078
40.25,193350,1983,1278,3485,227270,2649,1606,4141
40.5,194479,1994,1287,3521,228978,2671,1622,4210
40.75,195592,2011,1297,3558,230704,2691,1633,4276
41.0,196678,2023,1306,3597,232355,2710,1651,4335
41.25,197748,2031,1308,3628,234032,2737,1663,4397
41.5,198883,2037,1315,3670,235719,2767,1675,4455
41.75,200007,2044,1330,3718,237413,2797,1683,4509
42.0,201085,2053,1336,3750,239167,2820,1696,4580
42.25,202175,2065,1345,3786,240894,2850,1715,4649
42.5,203277,2076,1349,3823,242635,2869,1730,4727
42.75,204378,2088,1357,3849,244331,2896,1743,4791
43.0,205484,2097,1363,3883,246063,2927,1768,4877
43.25,206624,2109,1372,3928,247783,2944,1781,4949
43.5,207728,2119,1380,3963,249495,2968,1795,5021
43.75,208873,2134,1388,4003,251226,3001,1813,5094
44.0,210007,2144,1397,4041,252989,3037,1831,5174
44.25,211089,2156,1403,4073,254756,3056,1851,5249
44.5,212149,2166,1413,4112,256618,3091,1868,5316
44.75,213208,2177,1423,4148,258413,3117,1891,5391
45.0,214324,2190,1428,4183,260165,3139,1902,5461
45.25,215425,2198,1438,4222,262014,3171,1924,5530
45.5,216579,2211,1448,4259,263834,3186,1940,5608
45.75,217676,2221,1457,4304,265632,3209,1961,5685
46.0,218783,2231,1462,4347,267447,3233,1976,5773
46.25,219886,2243,1472,4383,269228,3253,1991,5842
46.5,221031,2252,1478,4420,271055,3285,2011,5911
46.75,222149,2261,1487,4465,272900,3309,2034,5997
47.0,223185,2272,1494,4498,274754,3333,2057,6085
47.25,224240,2282,1498,4527,276587,3359,2072,6172
47.5,225340,2293,1508,4568,278401,3388,2092,6256
47.75,226457,2306,1513,4596,280124,3414,2104,6333
48.0,227502,2313,1520,4636,282044,3442,2119,6413
48.25,228581,2323,1528,4670,283937,3460,2143,6504
48.5,229643,2333,1535,4718,285660,3482,2160,6573
48.75,230738,2341,1545,4764,287482,3507,2176,6666
49.0,231747,2353,1550,4803,289290,3547,2189,6751
49.25,232839,2361,1559,4843,291204,3570,2210,6842
49.5,233937,2371,1570,4897,293185,3592,2235,6941
49.75,235015,2377,1578,4938,295004,3631,2256,7038
50.0,236086,2386,1582,4982,296926,3663,2281,7142
50.25,237185,2397,1591,5026,298873,3688,2306,7243
50.5,238203,2405,1597,5061,300830,3719,2328,7339
